"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Euro area","EMU","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1091.46380834661","1196.50728046488","1318.0622545706","1454.90601583484","1595.11700919607","1731.7537635474","1886.50680198057","2079.4241154688","2277.11485724952","2498.96099196969","2897.85174122418","3721.68321385442","4620.54543983414","5327.31805861641","5648.85599326071","6067.7555578896","6888.59596414903","8544.35635982499","10260.4399524269","10160.5409990314","9199.41869233767","8199.83702146622","7970.39720408142","7983.374769748","9225.77932425167","11809.993889081","15359.6279298971","16464.4748518134","17749.1890517107","18987.6120836022","21306.2200785311","20979.2318051424","21515.2530761905","22643.4364815778","23905.9469330235","23862.3117303137","22816.5702761502","22410.3794170454","22187.1186609529","21264.210600028","20722.6520490661","23314.4207223214","28299.2744115391","32412.1547276982","34556.0152474465","36717.753047036","39536.5761892435","39641.1548494359","39764.2736992878","40295.01038538","39268.8946908995","39470.157340057","39351.5447480777","37726.9184633218","36326.825534193","35821.4502810637","38758.0846059639","40077.6981655596","",
"Eritrea","ERI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","270","270","300","320","330","310","300","310","300","300","340","390","410","420","410","480","510","600","","","","","","","","","",
"Spain","ESP","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","500","570","640","730","840","930","1010","1110","1170","1310","1590","2090","2730","3240","3430","3640","4040","5010","6210","6310","5680","4860","4580","4550","5400","7110","9410","10700","12210","13700","15610","15010","14470","14830","15560","15820","15440","15480","15770","15520","15590","18030","22070","25870","27820","29740","32190","32460","31880","30950","29520","29210","29130","28430","27530","27090","29350","30390","",
"Estonia","EST","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4160","4310","4620","5730","7500","9730","11500","13420","15200","14620","14700","16000","16900","18250","18990","18680","18410","18840","21340","23260","",
"Ethiopia","ETH","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","210","200","190","230","280","270","260","260","250","220","210","160","150","150","140","130","120","130","130","120","110","140","160","180","220","280","340","380","390","410","470","550","600","670","740","800","850","",
"European Union","EUU","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","2411.71217278051","3091.67607159225","3830.34984251354","4421.55825591185","4687.73162586944","5027.97098687601","5697.69407443313","7045.79084085732","8431.76026675408","8344.07677331988","7547.17782587043","6714.43105825478","6520.11080657505","6530.2682044366","7551.94812953815","9654.70860155159","12513.8776979067","13408.2775805192","14440.2289192612","15436.7466216773","17314.6790161148","17049.7138656409","17524.7044702218","18505.7018460793","19628.3224820827","19673.8026436299","18888.5001989812","18607.2148940125","18510.3865964468","17815.9211146709","17479.3553206918","19733.0953553095","23993.9484466997","27606.1699125618","29604.3037768133","31659.0182023711","34398.0098382486","34522.2183845817","34711.7584165114","35192.6171115926","34504.6242069052","34822.3157000394","34788.6021750115","33409.4248179864","32173.3156893305","31804.6879718994","34493.2962071726","35812.4831091171","",
"Fragile and conflict affected situations","FCS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","136.643202494581","157.829661828151","166.939150462145","184.539245188205","211.66630880078","287.700120635599","352.979922923374","409.832689687875","432.649960470415","455.343670042436","519.108918956648","597.950518549624","662.819039425255","701.820849993024","694.285300433261","620.568669558728","595.874236613853","582.382823616992","588.965351214755","597.604869966959","525.018805458715","639.506198260498","628.74487059506","632.452122628598","568.703656182382","532.672414898961","550.330820471815","577.777787603315","620.680900982919","616.948644165723","629.133625875474","669.890878348891","726.768706817298","729.301123723498","729.683944413977","851.882890898998","1001.01829695807","1196.28317475728","1424.3011226465","1732.64301516848","1874.40972269826","2041.67972709445","2016.37368622669","2306.40570862729","2409.30546370287","2504.85887997974","2363.96434782265","2167.72969353332","1980.70052363807","1973.87066914338","2051.85861565236","",
"Finland","FIN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1370","1470","1620","1810","1970","2060","2090","2270","2460","2690","3170","4030","5130","6320","6840","7190","7910","9540","11450","11980","11700","10840","10790","11130","13010","16480","21540","24110","26000","25100","24170","20680","20170","22030","24970","26680","25820","26040","26450","25810","25550","28720","35270","40170","42800","46160","50070","48800","49600","50150","48940","49480","49390","47150","45500","44830","48280","50010","",
"Fiji","FJI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","280","290","300","290","300","340","350","350","400","440","530","720","930","1120","1220","1300","1360","1660","1870","2040","1800","1580","1660","1580","1790","1770","1790","1790","1790","1790","1990","2090","2230","2460","2660","2580","2300","2360","2240","2140","2170","2420","3040","3590","3620","3820","4010","3860","3650","3770","4140","4710","5020","5100","5280","5370","5910","5800","",
"France","FRA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1550","1700","1870","2030","2200","2360","2560","2820","3020","3250","3670","4690","5790","6720","7140","7810","8830","10820","13080","13190","12040","10450","9820","9770","11330","14460","18520","19490","20640","21420","23840","23580","24380","25740","27110","26930","25830","25420","24970","23840","23090","25930","31360","35870","37850","40130","43460","43930","43850","44350","43380","43780","43320","41100","39070","38330","41200","42450","",
"Faroe Islands","FRO","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2120","2130","2200","2140","1930","1950","2050","2210","2260","2270","2380","2440","2560","2560","2570","2590","2820","2900","3070","3150","3180","3150","3490","3410","3450","3400","","",
"Gabon","GAB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","330","410","340","360","420","440","460","530","570","610","690","910","1700","2870","4450","4010","3090","3520","4590","5290","4840","4260","4310","3860","3840","3430","4150","4580","4820","5170","5120","4430","4130","3910","4100","4270","3940","3280","3090","3420","3610","3880","4310","5520","5740","6590","7320","7590","7850","8120","9090","9330","9330","7970","7080","6510","6830","7170","",
"United Kingdom","GBR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","2490","2770","3200","3900","4360","4870","5010","5220","5930","7560","9530","10640","10630","9840","9250","9140","10220","12680","16130","17350","18530","19350","21440","21320","21850","21080","22790","25280","26830","28150","29230","28990","29190","32270","37780","42790","45100","47540","48560","44250","41750","41080","41690","42690","44360","44350","42950","41290","41770","42220","",
"Georgia","GEO","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","750","540","510","550","670","820","870","840","790","780","840","990","1210","1520","1910","2380","2820","2950","3210","3520","4150","4530","4740","4410","4080","4040","4460","4780","",
"Ghana","GHA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","190","200","210","230","250","240","220","220","250","270","260","280","320","300","290","300","350","380","420","410","360","320","340","350","390","420","440","400","400","410","430","420","370","370","380","390","390","390","340","300","270","320","380","460","600","790","1150","1190","1240","1380","1530","1850","1900","1940","1820","1890","2130","2220","",
"Gibraltar","GIB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","400","390","410","420","460","490","500","500","510","510","470","450","400","360","350","340","370","360","400","470","620","670","690","680","700","700","740","760","780","820","850","930","",
"Gambia, The","GMB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","110","110","110","110","120","150","180","230","230","240","260","310","380","390","340","300","290","300","300","320","300","300","310","400","520","710","690","690","700","690","660","640","620","560","440","390","470","520","640","700","810","880","890","760","760","730","650","620","620","660","720","750","",
"Guinea-Bissau","GNB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","120","130","150","170","150","140","160","180","150","190","200","190","190","200","160","170","180","210","220","240","240","230","220","220","240","240","160","160","210","250","300","330","380","430","440","470","510","560","580","640","630","640","640","640","650","680","750","820","",
"Equatorial Guinea","GNQ","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","130","130","130","150","170","210","250","230","260","270","380","370","270","250","360","870","700","820","770","900","1270","1190","1720","3890","8110","11600","14250","12530","9970","11540","13870","14030","13230","10850","8270","6510","6650","6460","",
"Greece","GRC","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","620","700","790","900","1000","1090","1200","1370","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24550","26350","28660","29330","27380","24470","23190","22430","22010","20140","18550","17910","18970","19750","",
"Grenada","GRD","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","1150","1300","1310","1300","1280","1340","1500","1790","2200","2490","2670","2840","3040","3140","3120","3210","3310","3500","3660","3990","4310","4610","4510","4650","5290","5350","6650","6430","6830","7260","6720","6940","7060","7030","7350","7520","7780","8350","8890","9580","9840","",
"Greenland","GRL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","1890","2440","3130","3800","4330","5140","6160","7550","9270","9100","8020","7270","6740","7060","8540","11470","15170","16970","15690","16510","17440","16600","17830","19470","20780","20540","20440","19740","20290","19390","18760","20440","25730","30920","30240","34800","","","","","","","","","","","","","",
"Guatemala","GTM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","260","280","280","290","290","290","310","330","350","360","390","450","540","610","690","800","920","1080","1210","1240","1170","1110","1130","1160","1070","1020","980","980","930","970","1030","1140","1230","1360","1440","1530","1610","1650","1670","1610","1620","1700","1880","2030","2190","2410","2650","2700","2780","2950","3210","3410","3570","3700","3870","4090","4390","4610","",
"Guam","GUM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","280","250","280","310","320","340","330","350","360","380","390","430","540","680","660","610","620","670","760","740","590","510","470","500","520","460","470","360","400","330","390","460","570","670","830","890","880","860","890","880","890","940","1030","1090","1470","2280","3860","4180","4510","4820","5280","5540","5570","5470","5600","5910","6290","6630","",
"High income","HIC","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1509.79088252422","1600.81404857216","1721.0964622629","1865.31148229485","2032.06974258764","2160.0080486145","2366.82895022667","2572.75230914785","2724.78271352507","2974.68468460391","3408.5310360401","4172.32310983759","4882.08948785593","5454.59379895909","5791.76369802243","6208.51487678575","7076.28872792299","8471.87368902371","9784.19709708847","10184.1498613757","9692.35719239349","9309.53799581943","9665.24393811123","10113.2781788804","11383.9534454544","13636.289476983","16589.3025271679","17480.5451829012","18282.5520428468","19012.8303165809","20659.0641566231","21139.4820783091","22198.9343119326","23649.6450515303","24784.6020263023","24893.08878681","23987.0736182632","24297.024600467","25307.0964063531","25300.6364186725","25145.5383627971","27094.2283896318","30909.7071776983","34055.324493277","35759.5610778082","37188.0240660488","38789.7168051231","38132.5904969377","39164.2692386821","40491.634258685","41841.1852255296","42655.6392304903","42849.8997350911","41651.2465206863","40746.5884935912","40979.6942519589","43811.6494534444","45353.5219669549","",
"Hong Kong SAR, China","HKG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","570","630","700","710","710","740","840","930","1060","1300","1750","2150","2450","2900","3340","3930","4700","5730","6360","6290","5890","6170","6090","7230","9080","10770","11550","12660","14320","16560","19560","21820","23570","24140","26080","25110","25800","26930","26350","25270","26340","28120","28890","30290","32070","33950","32350","33620","35690","36340","38570","40240","41180","42970","46390","50060","50800","",
"Honduras","HND","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","180","180","190","210","220","230","250","250","260","270","280","320","360","380","410","460","610","830","1090","1090","1020","1000","1080","1160","1260","1410","1410","1270","1110","940","930","950","880","900","870","910","910","930","1020","1040","1070","1130","1210","1290","1360","1490","1620","1630","1720","1870","1970","2000","2000","2060","2120","2250","2320","2390","",
"Heavily indebted poor countries (HIPC)","HPC","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","248.3471526326","262.212439939019","289.979113805493","332.642440207399","369.670346586994","391.05707998535","367.867701852313","326.365910457977","312.441842299228","312.910298685297","350.261990384385","408.323686711155","431.658624226992","410.6615299078","381.56470454473","364.656831525656","353.563555033452","338.697920159068","306.860603694985","312.156904438673","319.381482689037","328.060090015786","323.763798333564","325.706694376301","327.527198615182","324.746913709927","328.849880881461","350.593644964728","401.824267191365","453.334139057781","496.844957325904","562.570203832555","659.830727286155","719.290361437208","765.33830012586","794.113455481725","845.489382295123","898.20167200827","939.835942016555","940.133956844979","916.152429083545","907.824509737035","942.033558928709","969.280191916466","",
"Croatia","HRV","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5520","5430","5180","5210","5290","5600","6670","8520","10150","11310","12670","14250","14110","14090","14040","13440","13580","13260","12970","12380","12680","14080","14980","",
"Haiti","HTI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","250","250","250","240","260","280","320","340","380","370","420","450","390","310","260","310","360","390","400","450","550","640","730","670","660","700","780","890","990","1140","1120","1230","1300","1370","1410","1390","1330","1310","1360","1330","",
"Hungary","HUN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3660","4030","4250","4370","4400","4410","4490","4620","4790","5290","6630","8640","10360","11230","11750","13230","13380","13260","13250","13060","13500","13560","13250","13100","13190","15020","16500","",
"IBRD only","IBD","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","197.782862322954","197.16929296382","201.877705798003","219.16869092327","236.416423203893","250.191133185002","269.868019606919","325.794506086358","399.745914563756","465.762844524873","477.660859978511","497.788753101339","541.2783358249","624.776426275236","718.098493906368","772.612043220583","759.958398796775","708.703635037775","702.904679616857","721.110282323061","762.432082093052","821.557154306461","866.778993692209","877.07598966826","923.76110036999","992.527587517425","1045.70846095412","1086.76710628478","1134.56425971385","1225.81906791292","1342.40253120695","1429.23467119749","1385.32941158264","1360.24858312393","1411.29256770338","1421.30595294755","1441.50810301173","1569.19846888499","1825.01378049773","2132.09095351893","2480.19726914459","2947.92290097211","3485.28320142078","3749.58160444004","4189.3197486388","4666.33708299844","5288.94919020551","5721.92313407854","5911.76703397995","5763.4865303635","5658.25861407807","5782.71062867065","6215.91964811483","6576.1801252876","",
"IDA & IBRD total","IBT","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","182.014545294309","181.86171656327","186.525422898268","202.472352911303","219.271880490305","231.868349676589","249.714911877344","297.96115048716","366.943770978917","428.19927740323","442.560644610551","460.880297921662","499.662207113512","576.132669298651","662.652961539814","717.063822459038","711.775630631152","669.692303520498","653.992093573038","664.527338448669","696.616437929179","747.736210990237","786.565886772427","788.469811271255","823.372142747332","875.138585325231","916.841281731761","943.187730707003","975.664752831854","1048.32950853699","1143.62535590226","1213.5622121411","1176.06028240504","1154.78872808643","1194.91300213378","1203.06217483284","1220.00006988922","1323.88967702602","1535.97879883742","1787.23262287706","2071.1895294582","2448.54612731254","2885.90975544801","3097.82687853267","3443.58031688913","3812.93540719809","4303.58347011889","4645.71373457397","4796.89058226014","4674.47512261946","4575.97847599668","4652.92381331611","4974.90821175857","5238.2421426529","",
"IDA total","IDA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","123.06020179984","138.422916540515","145.5602805802","154.852418605672","165.52275528074","211.115765407219","250.488889797958","276.655330012575","287.768924460146","306.351895369468","352.182325802561","409.768519653198","466.914986485744","498.055216573571","499.962878666874","441.363045250041","420.240217079918","414.499021370857","433.966330447313","448.631184110183","418.672310417702","407.71035956567","396.907885496317","396.363670891998","368.036509238099","345.022392727022","351.982977592119","372.862881748193","387.063726146009","384.094334907811","387.060662090739","396.429119415225","408.549318515859","424.631787392117","454.341840054441","524.797103581911","596.189191753268","676.940922180769","768.122063237503","895.67630028117","962.574028967252","1030.94396334629","1084.26036070161","1190.94662062266","1288.69330225242","1364.80166125078","1366.30867929457","1330.88854351164","1308.51216890381","1350.17602009741","1385.44282828543","",
"IDA blend","IDB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","104.759206149637","111.74729663246","115.90920279796","122.364484654503","127.40690088167","126.740190812441","134.255120277598","151.084140688403","180.215681290923","190.553637800091","201.56045881975","208.372895238317","268.205897680782","307.059495935062","358.792434223442","387.957804737417","414.51652156646","479.005765234205","562.350311883206","678.174709802222","787.070161324181","839.252293856533","702.660571367896","638.780970227842","581.937416912978","568.988769780373","581.587494979625","533.621652678984","523.886226135376","506.833324208944","510.670192381213","456.187627181745","437.185620543959","444.917635609917","481.720090944762","499.652342829059","487.414691137125","490.849828615551","502.725812804023","527.601161900051","561.145951833154","605.281406466519","714.850263119296","824.190389679616","980.108539318661","1123.78985568575","1314.20266649236","1379.80863636802","1453.00107841505","1525.00882865097","1703.74238065916","1858.32434578035","1992.47795431397","1964.85868762014","1844.03125082223","1738.4353137317","1733.88688777359","1729.45256936469","",
"Indonesia","IDN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","70","80","80","90","110","160","220","270","300","360","400","470","530","560","530","520","500","520","510","510","530","560","610","660","740","850","990","1090","1100","660","570","580","720","790","900","1080","1220","1380","1600","1940","2150","2530","3010","3580","3730","3620","3430","3400","3530","3850","4050","",
"IDA only","IDX","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","309.405362427913","296.060316389175","299.666013520405","324.465821166221","363.594140915344","379.604047377363","359.52509100431","347.459656636672","340.106583034429","337.051734773662","323.724651796495","297.987969308129","304.636725881152","316.98824770238","329.235956838675","331.247049545053","333.955925654982","342.043204047652","347.346983248545","354.120521359297","376.427005504167","426.612529338488","478.4016540851","520.088722877739","583.969726983339","678.564194973421","747.350926623584","813.640394709283","857.827693937811","925.983333361632","993.308371362588","1037.94649645988","1055.10633061822","1066.46896699526","1090.05589860265","1158.18588243894","1216.94389298221","",
"Isle of Man","IMN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17050","18800","21310","21880","22480","23780","27780","34170","39590","44420","47220","62280","64940","71570","74390","82210","87850","89000","83990","78870","77900","83160","","",
"India","IND","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","90","100","110","110","110","110","100","110","120","120","120","140","170","190","180","190","210","220","270","290","290","280","280","290","310","350","390","390","380","350","340","320","340","370","400","410","410","440","440","450","460","520","610","710","790","910","1000","1120","1220","1360","1480","1520","1560","1600","1680","1830","2010","2120","",
"Not classified","INX","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","2070","2540","2990","3390","3280","3580","4120","5120","6380","6780","6390","5720","5610","5630","6370","8220","10420","11100","12560","13130","14440","14600","15480","16920","18880","20660","21440","22650","24080","24020","24830","29890","37690","44530","47910","50530","50920","46810","44880","41900","40590","43480","46320","50350","52490","53480","59640","64000","",
"Iran, Islamic Rep.","IRN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","1980","2310","2100","2400","3190","3300","3110","3490","3690","3570","3030","2590","2550","","","","","1310","1580","1780","1800","1720","1760","1790","1880","2200","2520","2960","3480","4270","4970","5560","6250","6870","7130","6990","6500","5370","5500","5420","5300","","",
"Iraq","IRQ","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","3930","3460","3050","2360","2540","2750","3050","3530","3720","3720","7050","","","","","","","","","","","","","","","","1900","2430","3540","4160","4580","4960","6300","7040","6830","5930","5620","4880","5060","5740","",
"Iceland","ISL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1540","1740","2050","2440","2980","3110","2790","2490","2610","3050","3740","4960","6690","7490","7970","9010","10860","13180","15440","16240","15100","12580","11900","11930","14250","19100","23470","24210","24810","25260","26510","26100","25660","25490","27320","28480","29280","30400","31550","30710","30930","33720","42030","50700","53610","61930","50100","41850","36250","37590","40680","46960","48230","50160","55150","60530","67890","72850","",
"Israel","ISR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1320","1330","1310","1440","1470","1480","1730","1910","1980","2260","2770","3180","4270","4880","4760","4620","4830","5630","6090","6750","6620","6620","6550","6530","7110","8510","10450","10960","12170","12920","14440","14820","15720","17550","18610","18920","18760","18440","19200","19260","18600","18680","19930","21430","22320","23960","26150","27260","29660","31450","32220","34320","36020","36070","36330","37550","40860","43110","",
"Italy","ITA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","960","1060","1160","1280","1410","1550","1700","1850","2060","2250","2620","3250","3930","4320","4510","4730","5270","6740","8430","8710","8220","7630","7760","8030","9380","12160","15950","17300","18660","20370","22960","21590","20860","20670","21830","22300","22220","21990","21890","21170","20710","23350","28270","32430","34250","35900","37910","37870","37850","37900","36200","35550","34890","32980","31950","31360","33840","34530","",
"Jamaica","JAM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","620","650","720","760","980","1020","1180","1370","1370","1450","1430","1300","1210","1290","1340","1330","1130","930","950","1170","1480","1690","1770","1740","1600","1830","1870","2280","2510","2750","2880","3110","3230","3230","3250","3440","3650","3800","4090","4320","4570","4330","4390","4590","4980","5010","4910","4700","4600","4750","5010","5320","",
"Jordan","JOR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","1160","1540","1810","2040","1980","1750","1730","1670","1870","2100","2160","1560","1270","1090","1240","1280","1340","1420","1430","1450","1480","1530","1670","1740","1780","1900","2160","2340","2510","2730","3110","3380","3520","3620","3720","3830","3920","3950","4000","4080","4270","4410","",
"Japan","JPN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","610","690","800","890","1030","1200","1430","1660","1830","2120","2720","3640","4430","5150","5410","5950","7450","9450","10860","11120","10550","10270","10520","11480","13850","18180","24910","27000","27810","28590","30590","33430","36980","42110","43150","40040","34450","33780","36230","36770","34790","35070","38350","40560","39930","38740","38850","38800","43440","46880","49480","48280","43950","38840","37860","38490","41150","41710","",
"Kazakhstan","KAZ","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1430","1310","1280","1340","1390","1390","1290","1270","1360","1530","1810","2300","2930","3860","4980","6150","6790","7440","8280","9940","11840","12080","11380","8770","8040","8070","8820","",
"Kenya","KEN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","100","100","110","100","120","120","130","140","130","160","190","200","230","250","250","280","320","390","450","450","390","340","310","310","340","370","410","400","370","350","330","270","260","270","340","390","430","430","410","400","380","400","450","510","580","700","820","900","960","990","1050","1130","1240","1290","1350","1420","1600","1750","",
"Kyrgyz Republic","KGZ","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","520","450","370","360","390","390","360","300","280","280","290","340","400","450","500","610","760","860","850","880","1040","1190","1250","1180","1110","1110","1220","1240","",
"Cambodia","KHM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","250","320","320","290","300","300","310","320","350","400","460","520","590","670","700","750","810","880","970","1020","1060","1140","1230","1380","1530","",
"Kiribati","KIR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","870","860","690","660","790","780","590","540","520","550","640","670","720","960","1030","1020","1050","1150","1090","1340","1470","1300","1330","1340","1250","1310","1480","1700","1710","1820","1930","1900","2050","2090","2620","2980","3220","3470","2920","3020","3080","3350","",
"St. Kitts and Nevis","KNA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","1370","1670","1850","1940","2010","2240","2510","3070","3690","4390","4660","5220","5260","5710","6190","6710","7310","7690","8080","7830","8280","9120","9440","9370","9270","10390","11640","12440","13050","14850","14620","14690","15450","15470","16610","16490","16410","17080","17240","18520","19290","",
"Korea, Rep.","KOR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","120","120","130","130","140","150","190","240","280","310","340","430","550","660","810","970","1280","1680","1870","2030","2050","2170","2340","2480","2850","3530","4520","5380","6450","7570","8310","9010","10090","11820","13320","13550","10330","10430","11030","11950","12850","13790","16200","18520","20800","23440","23860","22040","22290","23590","25660","26980","28160","28720","29330","30300","32730","33790","",
"Kuwait","KWT","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20520","20870","21480","19680","16870","17980","18660","18930","22600","28510","35220","42300","47580","51710","45000","42490","43790","49690","53060","51000","41820","35330","31400","33590","","",
"Latin America & Caribbean (excluding high income)","LAC","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","465.043742731281","476.904055923688","513.481012641933","546.391016573841","579.191518382111","632.536642005758","698.635085350093","858.387846178167","1092.44572577482","1287.64786297427","1363.64896427878","1405.40590558825","1525.46476991993","1787.15773967939","2092.03541999219","2241.26995145317","2130.51713909206","1881.29847259263","1794.57205497986","1764.94828110549","1835.69482048248","1962.32406628427","2080.73867742807","2183.18795310049","2285.10551873296","2647.43311548329","2925.48105073445","3149.89042731448","3378.5238579966","3591.12431085041","3883.57717061008","4159.93300363577","4137.02471782804","3929.10916629296","4022.56333717799","3908.26764847161","3656.17235688066","3640.52866126797","3933.71484466031","4406.29059485998","5088.20449549581","5952.90958701884","6879.20027244461","7055.75557749594","7842.92090742606","8648.4058632603","9525.8142100469","9904.70812151271","9792.83259524103","8952.61540889664","8210.48338400196","8072.03752477471","8323.4397904478","8372.83645422491","",
"Lao PDR","LAO","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","550","430","250","210","190","210","250","280","310","350","380","370","310","290","280","310","320","340","390","460","510","620","750","890","1000","1140","1370","1610","1820","1970","2120","2240","2450","2570","",
